time	round	division	title	status	score	file	liveStats	boxScore
2021-05-16T10:00-04:00	3rd         	Women	#14 Virginia vs <b>#3 Georgia</b>                 	final	4-1       	../ncaaw/matches/R3_25-30_UVA_vs_UGA	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/W16UGAUVA.pdf
2021-05-16T10:00-04:00	3rd         	Women	USC vs <b>#6 N.C. State</b>                       	final	4-1       	../ncaaw/matches/R3_31-36_USC_vs_NCST	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/W16NCSUUSC.pdf
2021-05-16T13:00-04:00	3rd         	Women	#10 Texas A&M vs <b>#7 Florida State</b>          	final	4-2       	../ncaaw/matches/R3_37-42_AM_vs_FSU	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/W16FSUTAM.pdf
2021-05-16T13:00-04:00	3rd         	Women	#15 Ohio State vs <b>#2 Texas</b>                 	final	4-1       	../ncaaw/matches/R3_43-48_OSU_vs_TEX	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	https://www.ustanationalcampus.com/content/dam/nationalcampus/collegiate/ncaa2021/pdf/W16TEXOSU.pdf
2021-05-16T16:00-04:00	3rd         	Women	#13 Georgia Tech vs #4 UCLA                       	pre  	UCLA (89%)	../ncaaw/matches/R3_19-24_GT_vs_UCLA	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
2021-05-16T16:00-04:00	3rd         	Women	Michigan vs #5 Pepperdine                         	pre  	PEPP (77%)	../ncaaw/matches/R3_13-18_MICH_vs_PEPP	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
2021-05-16T19:00-04:00	3rd         	Women	#16 California vs #1 North Carolina               	pre  	UNC (98%) 	../ncaaw/matches/R3_1-6_CAL_vs_UNC	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
2021-05-16T19:00-04:00	3rd         	Women	Duke vs #9 Central Florida                        	pre  	DUKE (61%)	../ncaaw/matches/R3_7-12_DUKE_vs_UCF	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
TBA	QF          	Women	#6 N.C. State vs #3 Georgia                       	pre  	UGA (92%) 	../ncaaw/matches/R4_17-24_NCST_vs_UGA	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
TBA	QF          	Women	#7 Florida State vs #2 Texas                      	pre  	TEX (96%) 	../ncaaw/matches/R4_25-32_FSU_vs_TEX	http://scores.tennisticker.de/usa/ustanc/conf/lp.html?lid=83	
