time	round	division	title	status	score	file	liveStats	boxScore
2021-05-08T10:00-04:00	1st         	Men  	Duke vs South Florida                             	     	USF (53%) 	../ncaam/matches/R1_3-4_DUKE_vs_USF		
2021-05-08T10:00-04:00	1st         	Men  	LSU vs Stanford                                   	     	STAN (86%)	../ncaam/matches/R1_19-20_LSU_vs_STAN		
2021-05-08T10:00-04:00	1st         	Men  	Memphis vs Georgia Tech                           	     	GT (75%)  	../ncaam/matches/R1_35-36_MEM_vs_GT		
2021-05-08T10:00-04:00	1st         	Men  	Navy vs Oklahoma State                            	     	OKST (97%)	../ncaam/matches/R1_45-46_NAVY_vs_OKST		
2021-05-08T10:00-04:00	1st         	Men  	Northwestern vs UCLA                              	     	UCLA (58%)	../ncaam/matches/R1_29-30_NW_vs_UCLA		
2021-05-08T10:00-04:00	1st         	Men  	Virginia Tech vs Texas Tech                       	     	VT (51%)  	../ncaam/matches/R1_43-44_VT_vs_TTU		
2021-05-08T11:00-04:00	1st         	Men  	Miami (FL) vs Mississippi State                   	     	MSST (82%)	../ncaam/matches/R1_11-12_MIA_vs_MSST		
2021-05-08T12:00-04:00	1st         	Men  	Oregon vs Alabama                                 	     	BAMA (60%)	../ncaam/matches/R1_61-62_ORE_vs_BAMA		
2021-05-08T12:00-04:00	2nd         	Women	Vanderbilt at #15 Ohio State                      	     	OSU (88%) 	../ncaaw/matches/R2_57-60_VANDY_vs_OSU		
2021-05-08T12:00-04:00	1st         	Men  	Wichita State vs Arizona State                    	     	AZST (70%)	../ncaam/matches/R1_51-52_WICH_vs_AZST		
2021-05-08T13:00-04:00	1st         	Men  	Alabama A&M at #3 Tennessee                       	     	TENN (99%)	../ncaam/matches/R1_33-34_AAMU_vs_TENN		
2021-05-08T13:00-04:00	2nd         	Men  	Arizona at #14 Kentucky                           	     	UK (64%)  	../ncaam/matches/R2_37-40_ARIZ_vs_UK		
2021-05-08T13:00-04:00	1st         	Men  	ETSU at #11 Georgia                               	     	UGA (99%) 	../ncaam/matches/R1_41-42_ETSU_vs_UGA		
2021-05-08T13:00-04:00	1st         	Men  	Fairleigh Dickinson at #5 Virginia                	     	UVA (99%) 	../ncaam/matches/R1_17-18_FDU_vs_UVA		
2021-05-08T13:00-04:00	1st         	Men  	Middle Tennessee vs Tulane                        	     	TULN (80%)	../ncaam/matches/R1_59-60_MTSU_vs_TULN		
2021-05-08T13:00-04:00	2nd         	Men  	N.C. State at #13 South Carolina                  	     	SCAR (81%)	../ncaam/matches/R2_25-28_NCST_vs_SCAR		
2021-05-08T13:00-04:00	1st         	Men  	Northern Arizona at #4 Texas                      	     	TEX (99%) 	../ncaam/matches/R1_31-32_NAU_vs_TEX		
2021-05-08T13:00-04:00	2nd         	Women	Northwestern vs #10 Texas A&M                     	     	A&M (53%) 	../ncaaw/matches/R2_53-56_NW_vs_AM		
2021-05-08T13:00-04:00	1st         	Men  	Presbyterian at #6 North Carolina                 	     	UNC (99%) 	../ncaam/matches/R1_47-48_PRES_vs_UNC		
2021-05-08T13:00-04:00	1st         	Men  	South Alabama at #1 Florida                       	     	FLA (99%) 	../ncaam/matches/R1_1-2_SALA_vs_FLA		
2021-05-08T14:00-04:00	2nd         	Women	Iowa State at #6 N.C. State                       	     	NCST (97%)	../ncaaw/matches/R2_45-48_ISU_vs_NCST		
2021-05-08T14:00-04:00	2nd         	Women	Michigan at #12 LSU                               	     	MICH (70%)	../ncaaw/matches/R2_21-24_MICH_vs_LSU		
2021-05-08T14:00-04:00	1st         	Men  	Monmouth (NJ) at #9 Central Florida               	     	UCF (99%) 	../ncaam/matches/R1_9-10_MONM_vs_UCF		
2021-05-08T14:00-04:00	2nd         	Women	North Florida at #13 Georgia Tech                 	     	GT (97%)  	../ncaaw/matches/R2_25-28_UNF_vs_GT		
2021-05-08T14:00-04:00	2nd         	Men  	Notre Dame at #16 Illinois                        	     	ILL (97%) 	../ncaam/matches/R2_5-8_ND_vs_ILL		
2021-05-08T15:00-04:00	1st         	Men  	A&M-Corpus Christi at #2 Baylor                   	     	BAY (99%) 	../ncaam/matches/R1_63-64_TAMCC_vs_BAY		
2021-05-08T15:00-04:00	1st         	Men  	Arkansas at #7 TCU                                	     	TCU (98%) 	../ncaam/matches/R1_49-50_ARK_vs_TCU		
2021-05-08T15:00-04:00	2nd         	Men  	Oklahoma at #8 Texas A&M                          	     	A&M (94%) 	../ncaam/matches/R2_13-16_OKLA_vs_AM		
2021-05-08T15:00-04:00	2nd         	Women	Texas Tech at #4 UCLA                             	     	UCLA (96%)	../ncaaw/matches/R2_29-32_TTU_vs_UCLA		
2021-05-08T16:00-04:00	2nd         	Women	Arizona State at #2 Texas                         	     	TEX (99%) 	../ncaaw/matches/R2_61-64_AZST_vs_TEX		
2021-05-08T16:00-04:00	2nd         	Women	Auburn at #7 Florida State                        	     	FSU (85%) 	../ncaaw/matches/R2_49-52_AUB_vs_FSU		
2021-05-08T16:00-04:00	1st         	Men  	Belmont at #15 Ole Miss                           	     	MISS (99%)	../ncaam/matches/R1_57-58_BEL_vs_MISS		
2021-05-08T16:00-04:00	2nd         	Women	Kentucky at #16 California                        	     	CAL (79%) 	../ncaaw/matches/R2_5-8_UK_vs_CAL		
2021-05-08T16:00-04:00	2nd         	Women	Old Dominion at #1 North Carolina                 	     	UNC (99%) 	../ncaaw/matches/R2_1-4_ODU_vs_UNC		
2021-05-08T16:00-04:00	2nd         	Men  	Pepperdine at #12 USC                             	     	USC (92%) 	../ncaam/matches/R2_21-24_PEPP_vs_USC		
2021-05-08T16:00-04:00	2nd         	Women	USC at #11 Florida                                	     	FLA (70%) 	../ncaaw/matches/R2_41-44_USC_vs_FLA		
